Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators,0,0,0,0
G3SG1 | Orange Crash,0,0,0,0
M249 | Spectre,0,0,0,0
MP9 | Bioleak,0,0,0,0
P2000 | Oceanic,0,0,0,0
Sawed-Off | Fubar,0,0,0,0
SG 553 | Atlas,0,0,0,0
CZ75-Auto | Red Astor,0,0,1,0
Galil AR | Firefight,0,0,1,0
SSG 08 | Ghost Crusader,0,0,1,0
Tec-9 | Re-Entry,0,0,1,0
XM1014 | Black Tie,0,0,1,0
AUG | Fleet Flock,0,0,2,0
P250 | Asiimov,0,0,2,0
UMP-45 | Primal Saber,0,0,2,0
PP-Bizon | Judgement of Anubis,0,0,3,0
M4A1-S | Chantico's Fire,0,0,3,0
MAG-7 | Insomnia,0,1,0,0
MP9 | Featherweight,0,1,0,0
SCAR-20 | Fragments,0,1,0,0
P250 | Re.built,0,1,0,0
MP5-SD | Liquidation,0,1,0,0
SG 553 | Cyberforce,0,1,0,0
Tec-9 | Rebel,0,1,0,0
M4A1-S | Emphorosaur-S,0,1,1,0
Glock-18 | Umbral Rabbit,0,1,1,0
MAC-10 | Sakkaku,0,1,1,0
R8 Revolver | Banana Cannon,0,1,1,0
P90 | Neoqueen,0,1,1,0
AWP | Duality,0,1,2,0
UMP-45 | Wild Child,0,1,2,0
P2000 | Wicked Sick,0,1,2,0
M4A4 | Temukau,0,1,3,0
AK-47 | Head Shot,0,1,3,0
Five-SeveN | Scrawl,0,2,0,0
MAC-10 | Ensnared,0,2,0,0
MAG-7 | Foresight,0,2,0,0
MP5-SD | Necro Jr.,0,2,0,0
P2000 | Lifted Spirits,0,2,0,0
SCAR-20 | Poultrygeist,0,2,0,0
Sawed-Off | Spirit Board,0,2,0,0
PP-Bizon | Space Cat,0,2,1,0
G3SG1 | Dream Glade,0,2,1,0
M4A1-S | Night Terror,0,2,1,0
XM1014 | Zombie Offensive,0,2,1,0
USP-S | Ticket to Hell,0,2,1,0
Dual Berettas | Melondrama,0,2,2,0
FAMAS | Rapid Eye Movement,0,2,2,0
MP7 | Abyssal Apparition,0,2,2,0
AK-47 | Nightwish,0,2,3,0
MP9 | Starlight Protector,0,2,3,0
Negev | Ultralight,0,3,0,0
P2000 | Gnarled,0,3,0,0
SG 553 | Ol' Rusty,0,3,0,0
SSG 08 | Mainframe 001,0,3,0,0
P250 | Cassette,0,3,0,0
P90 | Freight,0,3,0,0
PP-Bizon | Runic,0,3,0,0
MAG-7 | Monster Call,0,3,1,0
Tec-9 | Brother,0,3,1,0
MAC-10 | Allure,0,3,1,0
Galil AR | Connexion,0,3,1,0
MP5-SD | Kitbash,0,3,1,0
M4A4 | Tooth Fairy,0,3,2,0
Glock-18 | Vogue,0,3,2,0
XM1014 | Entombed,0,3,2,0
Desert Eagle | Printstream,0,3,3,0
AK-47 | Legion of Anubis,0,3,3,0
FAMAS | Meow 36,0,4,0,0
Galil AR | Destroyer,0,4,0,0
M4A4 | Poly Mag,0,4,0,0
MAC-10 | Monkeyflage,0,4,0,0
Negev | Drop Me,0,4,0,0
UMP-45 | Roadblock,0,4,0,0
Glock-18 | Winterized,0,4,0,0
R8 Revolver | Crazy 8,0,4,1,0
M249 | Downtown,0,4,1,0
SG 553 | Dragon Tech,0,4,1,0
P90 | Vent Rush,0,4,1,0
Dual Berettas | Flora Carnivora,0,4,1,0
AK-47 | Ice Coaled,0,4,2,0
P250 | Visions,0,4,2,0
Sawed-Off | Kiss♥Love,0,4,2,0
USP-S | Printstream,0,4,3,0
AWP | Chromatic Aberration,0,4,3,0
SG 553 | Heavy Metal,0,5,0,0
Glock-18 | Clear Polymer,0,5,0,0
M249 | O.S.I.P.R.,0,5,0,0
CZ75-Auto | Circaetus,0,5,0,0
UMP-45 | Oscillator,0,5,0,0
R8 Revolver | Junk Yard,0,5,0,0
Nova | Windblown,0,5,0,0
P250 | Cyber Shell,0,5,1,0
Negev | dev_texture,0,5,1,0
MAC-10 | Button Masher,0,5,1,0
Desert Eagle | Trigger Discipline,0,5,1,0
AK-47 | Slate,0,5,1,0
MP9 | Food Chain,0,5,2,0
XM1014 | XOXO,0,5,2,0
Galil AR | Chromatic Aberration,0,5,2,0
USP-S | The Traitor,0,5,3,0
M4A4 | In Living Color,0,5,3,0
AUG | Tom Cat,0,6,0,0
AWP | Capillary,0,6,0,0
CZ75-Auto | Distressed,0,6,0,0
Desert Eagle | Blue Ply,0,6,0,0
MP5-SD | Desert Strike,0,6,0,0
Negev | Prototype,0,6,0,0
R8 Revolver | Bone Forged,0,6,0,0
P2000 | Acid Etched,0,6,1,0
