Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Factory New),0,0,0,4
G3SG1 | Orange Crash (Factory New),0,0,0,4
M249 | Spectre (Factory New),0,0,0,4
MP9 | Bioleak (Factory New),0,0,0,4
P2000 | Oceanic (Factory New),0,0,0,4
Sawed-Off | Fubar (Factory New),0,0,0,4
SG 553 | Atlas (Factory New),0,0,0,4
CZ75-Auto | Red Astor (Factory New),0,0,1,4
Galil AR | Firefight (Factory New),0,0,1,4
SSG 08 | Ghost Crusader (Factory New),0,0,1,4
Tec-9 | Re-Entry (Factory New),0,0,1,4
XM1014 | Black Tie (Factory New),0,0,1,4
AUG | Fleet Flock (Factory New),0,0,2,4
P250 | Asiimov (Factory New),0,0,2,4
UMP-45 | Primal Saber (Factory New),0,0,2,4
PP-Bizon | Judgement of Anubis (Factory New),0,0,3,4
M4A1-S | Chantico's Fire (Factory New),0,0,3,4
MAG-7 | Insomnia (Factory New),0,1,0,4
MP9 | Featherweight (Factory New),0,1,0,4
SCAR-20 | Fragments (Factory New),0,1,0,4
P250 | Re.built (Factory New),0,1,0,4
MP5-SD | Liquidation (Factory New),0,1,0,4
SG 553 | Cyberforce (Factory New),0,1,0,4
Tec-9 | Rebel (Factory New),0,1,0,4
M4A1-S | Emphorosaur-S (Factory New),0,1,1,4
Glock-18 | Umbral Rabbit (Factory New),0,1,1,4
MAC-10 | Sakkaku (Factory New),0,1,1,4
R8 Revolver | Banana Cannon (Factory New),0,1,1,4
P90 | Neoqueen (Factory New),0,1,1,4
AWP | Duality (Factory New),0,1,2,4
UMP-45 | Wild Child (Factory New),0,1,2,4
P2000 | Wicked Sick (Factory New),0,1,2,4
M4A4 | Temukau (Factory New),0,1,3,4
AK-47 | Head Shot (Factory New),0,1,3,4
Five-SeveN | Scrawl (Factory New),0,2,0,4
MAC-10 | Ensnared (Factory New),0,2,0,4
MAG-7 | Foresight (Factory New),0,2,0,4
MP5-SD | Necro Jr. (Factory New),0,2,0,4
P2000 | Lifted Spirits (Factory New),0,2,0,4
SCAR-20 | Poultrygeist (Factory New),0,2,0,4
Sawed-Off | Spirit Board (Factory New),0,2,0,4
PP-Bizon | Space Cat (Factory New),0,2,1,4
G3SG1 | Dream Glade (Factory New),0,2,1,4
M4A1-S | Night Terror (Factory New),0,2,1,4
XM1014 | Zombie Offensive (Factory New),0,2,1,4
USP-S | Ticket to Hell (Factory New),0,2,1,4
Dual Berettas | Melondrama (Factory New),0,2,2,4
FAMAS | Rapid Eye Movement (Factory New),0,2,2,4
MP7 | Abyssal Apparition (Factory New),0,2,2,4
AK-47 | Nightwish (Factory New),0,2,3,4
MP9 | Starlight Protector (Factory New),0,2,3,4
Negev | Ultralight (Factory New),0,3,0,4
P2000 | Gnarled (Factory New),0,3,0,4
SG 553 | Ol' Rusty (Factory New),0,3,0,4
SSG 08 | Mainframe 001 (Factory New),0,3,0,4
P250 | Cassette (Factory New),0,3,0,4
P90 | Freight (Factory New),0,3,0,4
PP-Bizon | Runic (Factory New),0,3,0,4
MAG-7 | Monster Call (Factory New),0,3,1,4
Tec-9 | Brother (Factory New),0,3,1,4
MAC-10 | Allure (Factory New),0,3,1,4
Galil AR | Connexion (Factory New),0,3,1,4
MP5-SD | Kitbash (Factory New),0,3,1,4
M4A4 | Tooth Fairy (Factory New),0,3,2,4
Glock-18 | Vogue (Factory New),0,3,2,4
XM1014 | Entombed (Factory New),0,3,2,4
Desert Eagle | Printstream (Factory New),0,3,3,4
AK-47 | Legion of Anubis (Factory New),0,3,3,4
FAMAS | Meow 36 (Factory New),0,4,0,4
Galil AR | Destroyer (Factory New),0,4,0,4
M4A4 | Poly Mag (Factory New),0,4,0,4
MAC-10 | Monkeyflage (Factory New),0,4,0,4
Negev | Drop Me (Factory New),0,4,0,4
UMP-45 | Roadblock (Factory New),0,4,0,4
Glock-18 | Winterized (Factory New),0,4,0,4
R8 Revolver | Crazy 8 (Factory New),0,4,1,4
M249 | Downtown (Factory New),0,4,1,4
SG 553 | Dragon Tech (Factory New),0,4,1,4
P90 | Vent Rush (Factory New),0,4,1,4
Dual Berettas | Flora Carnivora (Factory New),0,4,1,4
AK-47 | Ice Coaled (Factory New),0,4,2,4
P250 | Visions (Factory New),0,4,2,4
Sawed-Off | Kiss♥Love (Factory New),0,4,2,4
USP-S | Printstream (Factory New),0,4,3,4
AWP | Chromatic Aberration (Factory New),0,4,3,4
SG 553 | Heavy Metal (Factory New),0,5,0,4
Glock-18 | Clear Polymer (Factory New),0,5,0,4
M249 | O.S.I.P.R. (Factory New),0,5,0,4
CZ75-Auto | Circaetus (Factory New),0,5,0,4
UMP-45 | Oscillator (Factory New),0,5,0,4
R8 Revolver | Junk Yard (Factory New),0,5,0,4
Nova | Windblown (Factory New),0,5,0,4
P250 | Cyber Shell (Factory New),0,5,1,4
Negev | dev_texture (Factory New),0,5,1,4
MAC-10 | Button Masher (Factory New),0,5,1,4
Desert Eagle | Trigger Discipline (Factory New),0,5,1,4
AK-47 | Slate (Factory New),0,5,1,4
MP9 | Food Chain (Factory New),0,5,2,4
XM1014 | XOXO (Factory New),0,5,2,4
Galil AR | Chromatic Aberration (Factory New),0,5,2,4
USP-S | The Traitor (Factory New),0,5,3,4
M4A4 | In Living Color (Factory New),0,5,3,4
AUG | Tom Cat (Factory New),0,6,0,4
AWP | Capillary (Factory New),0,6,0,4
CZ75-Auto | Distressed (Factory New),0,6,0,4
Desert Eagle | Blue Ply (Factory New),0,6,0,4
MP5-SD | Desert Strike (Factory New),0,6,0,4
Negev | Prototype (Factory New),0,6,0,4
R8 Revolver | Bone Forged (Factory New),0,6,0,4
P2000 | Acid Etched (Factory New),0,6,1,4
Sawed-Off | Apocalypto (Factory New),0,6,1,4
SCAR-20 | Enforcer (Factory New),0,6,1,4
SG 553 | Darkwing (Factory New),0,6,1,4
SSG 08 | Fever Dream (Factory New),0,6,1,4
AK-47 | Phantom Disruptor (Factory New),0,6,2,4
MAC-10 | Disco Tech (Factory New),0,6,2,4
MAG-7 | Justice (Factory New),0,6,2,4
M4A1-S | Player Two (Factory New),0,6,3,4
Glock-18 | Bullet Queen (Factory New),0,6,3,4
MP7 | Urban Hazard (Factory New),0,7,0,4
Negev | Desert-Strike (Factory New),0,7,0,4
P2000 | Ivory (Factory New),0,7,0,4
SSG 08 | Abyss (Factory New),0,7,0,4
UMP-45 | Labyrinth (Factory New),0,7,0,4
PP-Bizon | Osiris (Factory New),0,7,1,4
CZ75-Auto | Tigris (Factory New),0,7,1,4
Nova | Koi (Factory New),0,7,1,4
