Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Field-Tested),0,0,0,2
G3SG1 | Orange Crash (Field-Tested),0,0,0,2
M249 | Spectre (Field-Tested),0,0,0,2
MP9 | Bioleak (Field-Tested),0,0,0,2
P2000 | Oceanic (Field-Tested),0,0,0,2
Sawed-Off | Fubar (Field-Tested),0,0,0,2
SG 553 | Atlas (Field-Tested),0,0,0,2
CZ75-Auto | Red Astor (Field-Tested),0,0,1,2
Galil AR | Firefight (Field-Tested),0,0,1,2
SSG 08 | Ghost Crusader (Field-Tested),0,0,1,2
Tec-9 | Re-Entry (Field-Tested),0,0,1,2
XM1014 | Black Tie (Field-Tested),0,0,1,2
AUG | Fleet Flock (Field-Tested),0,0,2,2
P250 | Asiimov (Field-Tested),0,0,2,2
UMP-45 | Primal Saber (Field-Tested),0,0,2,2
PP-Bizon | Judgement of Anubis (Field-Tested),0,0,3,2
M4A1-S | Chantico's Fire (Field-Tested),0,0,3,2
MAG-7 | Insomnia (Field-Tested),0,1,0,2
MP9 | Featherweight (Field-Tested),0,1,0,2
SCAR-20 | Fragments (Field-Tested),0,1,0,2
P250 | Re.built (Field-Tested),0,1,0,2
MP5-SD | Liquidation (Field-Tested),0,1,0,2
SG 553 | Cyberforce (Field-Tested),0,1,0,2
Tec-9 | Rebel (Field-Tested),0,1,0,2
M4A1-S | Emphorosaur-S (Field-Tested),0,1,1,2
Glock-18 | Umbral Rabbit (Field-Tested),0,1,1,2
MAC-10 | Sakkaku (Field-Tested),0,1,1,2
R8 Revolver | Banana Cannon (Field-Tested),0,1,1,2
P90 | Neoqueen (Field-Tested),0,1,1,2
AWP | Duality (Field-Tested),0,1,2,2
UMP-45 | Wild Child (Field-Tested),0,1,2,2
P2000 | Wicked Sick (Field-Tested),0,1,2,2
M4A4 | Temukau (Field-Tested),0,1,3,2
AK-47 | Head Shot (Field-Tested),0,1,3,2
Five-SeveN | Scrawl (Field-Tested),0,2,0,2
MAC-10 | Ensnared (Field-Tested),0,2,0,2
MAG-7 | Foresight (Field-Tested),0,2,0,2
MP5-SD | Necro Jr. (Field-Tested),0,2,0,2
P2000 | Lifted Spirits (Field-Tested),0,2,0,2
SCAR-20 | Poultrygeist (Field-Tested),0,2,0,2
Sawed-Off | Spirit Board (Field-Tested),0,2,0,2
PP-Bizon | Space Cat (Field-Tested),0,2,1,2
G3SG1 | Dream Glade (Field-Tested),0,2,1,2
M4A1-S | Night Terror (Field-Tested),0,2,1,2
XM1014 | Zombie Offensive (Field-Tested),0,2,1,2
USP-S | Ticket to Hell (Field-Tested),0,2,1,2
Dual Berettas | Melondrama (Field-Tested),0,2,2,2
FAMAS | Rapid Eye Movement (Field-Tested),0,2,2,2
MP7 | Abyssal Apparition (Field-Tested),0,2,2,2
AK-47 | Nightwish (Field-Tested),0,2,3,2
MP9 | Starlight Protector (Field-Tested),0,2,3,2
Negev | Ultralight (Field-Tested),0,3,0,2
P2000 | Gnarled (Field-Tested),0,3,0,2
SG 553 | Ol' Rusty (Field-Tested),0,3,0,2
SSG 08 | Mainframe 001 (Field-Tested),0,3,0,2
P250 | Cassette (Field-Tested),0,3,0,2
P90 | Freight (Field-Tested),0,3,0,2
PP-Bizon | Runic (Field-Tested),0,3,0,2
MAG-7 | Monster Call (Field-Tested),0,3,1,2
Tec-9 | Brother (Field-Tested),0,3,1,2
MAC-10 | Allure (Field-Tested),0,3,1,2
Galil AR | Connexion (Field-Tested),0,3,1,2
MP5-SD | Kitbash (Field-Tested),0,3,1,2
M4A4 | Tooth Fairy (Field-Tested),0,3,2,2
Glock-18 | Vogue (Field-Tested),0,3,2,2
XM1014 | Entombed (Field-Tested),0,3,2,2
Desert Eagle | Printstream (Field-Tested),0,3,3,2
AK-47 | Legion of Anubis (Field-Tested),0,3,3,2
FAMAS | Meow 36 (Field-Tested),0,4,0,2
Galil AR | Destroyer (Field-Tested),0,4,0,2
M4A4 | Poly Mag (Field-Tested),0,4,0,2
MAC-10 | Monkeyflage (Field-Tested),0,4,0,2
Negev | Drop Me (Field-Tested),0,4,0,2
UMP-45 | Roadblock (Field-Tested),0,4,0,2
Glock-18 | Winterized (Field-Tested),0,4,0,2
R8 Revolver | Crazy 8 (Field-Tested),0,4,1,2
M249 | Downtown (Field-Tested),0,4,1,2
SG 553 | Dragon Tech (Field-Tested),0,4,1,2
P90 | Vent Rush (Field-Tested),0,4,1,2
Dual Berettas | Flora Carnivora (Field-Tested),0,4,1,2
AK-47 | Ice Coaled (Field-Tested),0,4,2,2
P250 | Visions (Field-Tested),0,4,2,2
Sawed-Off | Kiss♥Love (Field-Tested),0,4,2,2
USP-S | Printstream (Field-Tested),0,4,3,2
AWP | Chromatic Aberration (Field-Tested),0,4,3,2
SG 553 | Heavy Metal (Field-Tested),0,5,0,2
Glock-18 | Clear Polymer (Field-Tested),0,5,0,2
M249 | O.S.I.P.R. (Field-Tested),0,5,0,2
CZ75-Auto | Circaetus (Field-Tested),0,5,0,2
UMP-45 | Oscillator (Field-Tested),0,5,0,2
R8 Revolver | Junk Yard (Field-Tested),0,5,0,2
Nova | Windblown (Field-Tested),0,5,0,2
P250 | Cyber Shell (Field-Tested),0,5,1,2
Negev | dev_texture (Field-Tested),0,5,1,2
MAC-10 | Button Masher (Field-Tested),0,5,1,2
Desert Eagle | Trigger Discipline (Field-Tested),0,5,1,2
AK-47 | Slate (Field-Tested),0,5,1,2
MP9 | Food Chain (Field-Tested),0,5,2,2
XM1014 | XOXO (Field-Tested),0,5,2,2
Galil AR | Chromatic Aberration (Field-Tested),0,5,2,2
USP-S | The Traitor (Field-Tested),0,5,3,2
M4A4 | In Living Color (Field-Tested),0,5,3,2
AUG | Tom Cat (Field-Tested),0,6,0,2
AWP | Capillary (Field-Tested),0,6,0,2
CZ75-Auto | Distressed (Field-Tested),0,6,0,2
Desert Eagle | Blue Ply (Field-Tested),0,6,0,2
MP5-SD | Desert Strike (Field-Tested),0,6,0,2
Negev | Prototype (Field-Tested),0,6,0,2
R8 Revolver | Bone Forged (Field-Tested),0,6,0,2
P2000 | Acid Etched (Field-Tested),0,6,1,2
Sawed-Off | Apocalypto (Field-Tested),0,6,1,2
SCAR-20 | Enforcer (Field-Tested),0,6,1,2
SG 553 | Darkwing (Field-Tested),0,6,1,2
SSG 08 | Fever Dream (Field-Tested),0,6,1,2
AK-47 | Phantom Disruptor (Field-Tested),0,6,2,2
MAC-10 | Disco Tech (Field-Tested),0,6,2,2
MAG-7 | Justice (Field-Tested),0,6,2,2
M4A1-S | Player Two (Field-Tested),0,6,3,2
Glock-18 | Bullet Queen (Field-Tested),0,6,3,2
MP7 | Urban Hazard (Field-Tested),0,7,0,2
Negev | Desert-Strike (Field-Tested),0,7,0,2
P2000 | Ivory (Field-Tested),0,7,0,2
SSG 08 | Abyss (Field-Tested),0,7,0,2
UMP-45 | Labyrinth (Field-Tested),0,7,0,2
PP-Bizon | Osiris (Field-Tested),0,7,1,2
CZ75-Auto | Tigris (Field-Tested),0,7,1,2
Nova | Koi (Field-Tested),0,7,1,2
P250 | Supernova (Field-Tested),0,7,1,2
Desert Eagle | Conspiracy (Field-Tested),0,7,2,2
Five-SeveN | Fowl Play (Field-Tested),0,7,2,2
Glock-18 | Water Elemental (Field-Tested),0,7,2,2
P90 | Asiimov (Field-Tested),0,7,3,2
M4A1-S | Cyrex (Field-Tested),0,7,3,2
MP9 | Modest Threat (Field-Tested),0,8,0,2
Glock-18 | Oxide Blaze (Field-Tested),0,8,0,2
Nova | Wood Fired (Field-Tested),0,8,0,2
