Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Minimal Wear),0,0,0,3
G3SG1 | Orange Crash (Minimal Wear),0,0,0,3
M249 | Spectre (Minimal Wear),0,0,0,3
MP9 | Bioleak (Minimal Wear),0,0,0,3
P2000 | Oceanic (Minimal Wear),0,0,0,3
Sawed-Off | Fubar (Minimal Wear),0,0,0,3
SG 553 | Atlas (Minimal Wear),0,0,0,3
CZ75-Auto | Red Astor (Minimal Wear),0,0,1,3
Galil AR | Firefight (Minimal Wear),0,0,1,3
SSG 08 | Ghost Crusader (Minimal Wear),0,0,1,3
Tec-9 | Re-Entry (Minimal Wear),0,0,1,3
XM1014 | Black Tie (Minimal Wear),0,0,1,3
AUG | Fleet Flock (Minimal Wear),0,0,2,3
P250 | Asiimov (Minimal Wear),0,0,2,3
UMP-45 | Primal Saber (Minimal Wear),0,0,2,3
PP-Bizon | Judgement of Anubis (Minimal Wear),0,0,3,3
M4A1-S | Chantico's Fire (Minimal Wear),0,0,3,3
MAG-7 | Insomnia (Minimal Wear),0,1,0,3
MP9 | Featherweight (Minimal Wear),0,1,0,3
SCAR-20 | Fragments (Minimal Wear),0,1,0,3
P250 | Re.built (Minimal Wear),0,1,0,3
MP5-SD | Liquidation (Minimal Wear),0,1,0,3
SG 553 | Cyberforce (Minimal Wear),0,1,0,3
Tec-9 | Rebel (Minimal Wear),0,1,0,3
M4A1-S | Emphorosaur-S (Minimal Wear),0,1,1,3
Glock-18 | Umbral Rabbit (Minimal Wear),0,1,1,3
MAC-10 | Sakkaku (Minimal Wear),0,1,1,3
R8 Revolver | Banana Cannon (Minimal Wear),0,1,1,3
P90 | Neoqueen (Minimal Wear),0,1,1,3
AWP | Duality (Minimal Wear),0,1,2,3
UMP-45 | Wild Child (Minimal Wear),0,1,2,3
P2000 | Wicked Sick (Minimal Wear),0,1,2,3
M4A4 | Temukau (Minimal Wear),0,1,3,3
AK-47 | Head Shot (Minimal Wear),0,1,3,3
Five-SeveN | Scrawl (Minimal Wear),0,2,0,3
MAC-10 | Ensnared (Minimal Wear),0,2,0,3
MAG-7 | Foresight (Minimal Wear),0,2,0,3
MP5-SD | Necro Jr. (Minimal Wear),0,2,0,3
P2000 | Lifted Spirits (Minimal Wear),0,2,0,3
SCAR-20 | Poultrygeist (Minimal Wear),0,2,0,3
Sawed-Off | Spirit Board (Minimal Wear),0,2,0,3
PP-Bizon | Space Cat (Minimal Wear),0,2,1,3
G3SG1 | Dream Glade (Minimal Wear),0,2,1,3
M4A1-S | Night Terror (Minimal Wear),0,2,1,3
XM1014 | Zombie Offensive (Minimal Wear),0,2,1,3
USP-S | Ticket to Hell (Minimal Wear),0,2,1,3
Dual Berettas | Melondrama (Minimal Wear),0,2,2,3
FAMAS | Rapid Eye Movement (Minimal Wear),0,2,2,3
MP7 | Abyssal Apparition (Minimal Wear),0,2,2,3
AK-47 | Nightwish (Minimal Wear),0,2,3,3
MP9 | Starlight Protector (Minimal Wear),0,2,3,3
Negev | Ultralight (Minimal Wear),0,3,0,3
P2000 | Gnarled (Minimal Wear),0,3,0,3
SG 553 | Ol' Rusty (Minimal Wear),0,3,0,3
SSG 08 | Mainframe 001 (Minimal Wear),0,3,0,3
P250 | Cassette (Minimal Wear),0,3,0,3
P90 | Freight (Minimal Wear),0,3,0,3
PP-Bizon | Runic (Minimal Wear),0,3,0,3
MAG-7 | Monster Call (Minimal Wear),0,3,1,3
Tec-9 | Brother (Minimal Wear),0,3,1,3
MAC-10 | Allure (Minimal Wear),0,3,1,3
Galil AR | Connexion (Minimal Wear),0,3,1,3
MP5-SD | Kitbash (Minimal Wear),0,3,1,3
M4A4 | Tooth Fairy (Minimal Wear),0,3,2,3
Glock-18 | Vogue (Minimal Wear),0,3,2,3
XM1014 | Entombed (Minimal Wear),0,3,2,3
Desert Eagle | Printstream (Minimal Wear),0,3,3,3
AK-47 | Legion of Anubis (Minimal Wear),0,3,3,3
FAMAS | Meow 36 (Minimal Wear),0,4,0,3
Galil AR | Destroyer (Minimal Wear),0,4,0,3
M4A4 | Poly Mag (Minimal Wear),0,4,0,3
MAC-10 | Monkeyflage (Minimal Wear),0,4,0,3
Negev | Drop Me (Minimal Wear),0,4,0,3
UMP-45 | Roadblock (Minimal Wear),0,4,0,3
Glock-18 | Winterized (Minimal Wear),0,4,0,3
R8 Revolver | Crazy 8 (Minimal Wear),0,4,1,3
M249 | Downtown (Minimal Wear),0,4,1,3
SG 553 | Dragon Tech (Minimal Wear),0,4,1,3
P90 | Vent Rush (Minimal Wear),0,4,1,3
Dual Berettas | Flora Carnivora (Minimal Wear),0,4,1,3
AK-47 | Ice Coaled (Minimal Wear),0,4,2,3
P250 | Visions (Minimal Wear),0,4,2,3
Sawed-Off | Kiss♥Love (Minimal Wear),0,4,2,3
USP-S | Printstream (Minimal Wear),0,4,3,3
AWP | Chromatic Aberration (Minimal Wear),0,4,3,3
SG 553 | Heavy Metal (Minimal Wear),0,5,0,3
Glock-18 | Clear Polymer (Minimal Wear),0,5,0,3
M249 | O.S.I.P.R. (Minimal Wear),0,5,0,3
CZ75-Auto | Circaetus (Minimal Wear),0,5,0,3
UMP-45 | Oscillator (Minimal Wear),0,5,0,3
R8 Revolver | Junk Yard (Minimal Wear),0,5,0,3
Nova | Windblown (Minimal Wear),0,5,0,3
P250 | Cyber Shell (Minimal Wear),0,5,1,3
Negev | dev_texture (Minimal Wear),0,5,1,3
MAC-10 | Button Masher (Minimal Wear),0,5,1,3
Desert Eagle | Trigger Discipline (Minimal Wear),0,5,1,3
AK-47 | Slate (Minimal Wear),0,5,1,3
MP9 | Food Chain (Minimal Wear),0,5,2,3
XM1014 | XOXO (Minimal Wear),0,5,2,3
Galil AR | Chromatic Aberration (Minimal Wear),0,5,2,3
USP-S | The Traitor (Minimal Wear),0,5,3,3
M4A4 | In Living Color (Minimal Wear),0,5,3,3
AUG | Tom Cat (Minimal Wear),0,6,0,3
AWP | Capillary (Minimal Wear),0,6,0,3
CZ75-Auto | Distressed (Minimal Wear),0,6,0,3
Desert Eagle | Blue Ply (Minimal Wear),0,6,0,3
MP5-SD | Desert Strike (Minimal Wear),0,6,0,3
Negev | Prototype (Minimal Wear),0,6,0,3
R8 Revolver | Bone Forged (Minimal Wear),0,6,0,3
P2000 | Acid Etched (Minimal Wear),0,6,1,3
Sawed-Off | Apocalypto (Minimal Wear),0,6,1,3
SCAR-20 | Enforcer (Minimal Wear),0,6,1,3
SG 553 | Darkwing (Minimal Wear),0,6,1,3
SSG 08 | Fever Dream (Minimal Wear),0,6,1,3
AK-47 | Phantom Disruptor (Minimal Wear),0,6,2,3
MAC-10 | Disco Tech (Minimal Wear),0,6,2,3
MAG-7 | Justice (Minimal Wear),0,6,2,3
M4A1-S | Player Two (Minimal Wear),0,6,3,3
Glock-18 | Bullet Queen (Minimal Wear),0,6,3,3
MP7 | Urban Hazard (Minimal Wear),0,7,0,3
Negev | Desert-Strike (Minimal Wear),0,7,0,3
P2000 | Ivory (Minimal Wear),0,7,0,3
SSG 08 | Abyss (Minimal Wear),0,7,0,3
UMP-45 | Labyrinth (Minimal Wear),0,7,0,3
PP-Bizon | Osiris (Minimal Wear),0,7,1,3
CZ75-Auto | Tigris (Minimal Wear),0,7,1,3
Nova | Koi (Minimal Wear),0,7,1,3
P250 | Supernova (Minimal Wear),0,7,1,3
Desert Eagle | Conspiracy (Minimal Wear),0,7,2,3
Five-SeveN | Fowl Play (Minimal Wear),0,7,2,3
Glock-18 | Water Elemental (Minimal Wear),0,7,2,3
P90 | Asiimov (Minimal Wear),0,7,3,3
M4A1-S | Cyrex (Minimal Wear),0,7,3,3
MP9 | Modest Threat (Minimal Wear),0,8,0,3
Glock-18 | Oxide Blaze (Minimal Wear),0,8,0,3
Nova | Wood Fired (Minimal Wear),0,8,0,3
M4A4 | Magnesium (Minimal Wear),0,8,0,3
Sawed-Off | Black Sand (Minimal Wear),0,8,0,3
SG 553 | Danger Close (Minimal Wear),0,8,0,3
Tec-9 | Fubar (Minimal Wear),0,8,0,3
G3SG1 | Scavenger (Minimal Wear),0,8,1,3
Galil AR | Signal (Minimal Wear),0,8,1,3
MAC-10 | Pipe Down (Minimal Wear),0,8,1,3
P250 | Nevermore (Minimal Wear),0,8,1,3
USP-S | Flashback (Minimal Wear),0,8,1,3
UMP-45 | Momentum (Minimal Wear),0,8,2,3
Desert Eagle | Mecha Industries (Minimal Wear),0,8,2,3
MP5-SD | Phosphor (Minimal Wear),0,8,2,3
AK-47 | Asiimov (Minimal Wear),0,8,3,3
AWP | Neo-Noir (Minimal Wear),0,8,3,3
PP-Bizon | Night Riot (Minimal Wear),0,9,0,3
Five-SeveN | Flame Test (Minimal Wear),0,9,0,3
MP9 | Black Sand (Minimal Wear),0,9,0,3
P2000 | Urban Hazard (Minimal Wear),0,9,0,3
R8 Revolver | Grip (Minimal Wear),0,9,0,3
SG 553 | Aloha (Minimal Wear),0,9,0,3
XM1014 | Oxide Blaze (Minimal Wear),0,9,0,3
Glock-18 | Moonrise (Minimal Wear),0,9,1,3
Negev | Lionfish (Minimal Wear),0,9,1,3
Nova | Wild Six (Minimal Wear),0,9,1,3
MAG-7 | SWAG-7 (Minimal Wear),0,9,1,3
UMP-45 | Arctic Wolf (Minimal Wear),0,9,1,3
AUG | Stymphalian (Minimal Wear),0,9,2,3
AWP | Mortis (Minimal Wear),0,9,2,3
USP-S | Cortex (Minimal Wear),0,9,2,3
M4A4 | Neo-Noir (Minimal Wear),0,9,3,3
MP7 | Bloodsport (Minimal Wear),0,9,3,3
CZ75-Auto | Polymer (Minimal Wear),0,10,0,3
Glock-18 | Ironwork (Minimal Wear),0,10,0,3
MP7 | Cirrus (Minimal Wear),0,10,0,3
Galil AR | Black Sand (Minimal Wear),0,10,0,3
MP9 | Sand Scale (Minimal Wear),0,10,0,3
MAG-7 | Sonar (Minimal Wear),0,10,0,3
P2000 | Turf (Minimal Wear),0,10,0,3
Dual Berettas | Royal Consorts (Minimal Wear),0,10,1,3
G3SG1 | Stinger (Minimal Wear),0,10,1,3
M4A1-S | Flashback (Minimal Wear),0,10,1,3
Nova | Gila (Minimal Wear),0,10,1,3
USP-S | Cyrex (Minimal Wear),0,10,1,3
FAMAS | Mecha Industries (Minimal Wear),0,10,2,3
P90 | Shallow Grave (Minimal Wear),0,10,2,3
Sawed-Off | Wasteland Princess (Minimal Wear),0,10,2,3
SSG 08 | Dragonfire (Minimal Wear),0,10,3,3
M4A4 | Buzz Kill (Minimal Wear),0,10,3,3
FAMAS | Crypsis (Minimal Wear),0,11,0,3
AK-47 | Uncharted (Minimal Wear),0,11,0,3
MAC-10 | Whitefish (Minimal Wear),0,11,0,3
Galil AR | Akoben (Minimal Wear),0,11,0,3
