Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Battle-Scarred),0,0,0,0
G3SG1 | Orange Crash (Battle-Scarred),0,0,0,0
M249 | Spectre (Battle-Scarred),0,0,0,0
MP9 | Bioleak (Battle-Scarred),0,0,0,0
P2000 | Oceanic (Battle-Scarred),0,0,0,0
Sawed-Off | Fubar (Battle-Scarred),0,0,0,0
SG 553 | Atlas (Battle-Scarred),0,0,0,0
CZ75-Auto | Red Astor (Battle-Scarred),0,0,1,0
Galil AR | Firefight (Battle-Scarred),0,0,1,0
SSG 08 | Ghost Crusader (Battle-Scarred),0,0,1,0
Tec-9 | Re-Entry (Battle-Scarred),0,0,1,0
XM1014 | Black Tie (Battle-Scarred),0,0,1,0
AUG | Fleet Flock (Battle-Scarred),0,0,2,0
P250 | Asiimov (Battle-Scarred),0,0,2,0
UMP-45 | Primal Saber (Battle-Scarred),0,0,2,0
PP-Bizon | Judgement of Anubis (Battle-Scarred),0,0,3,0
M4A1-S | Chantico's Fire (Battle-Scarred),0,0,3,0
MAG-7 | Insomnia (Battle-Scarred),0,1,0,0
MP9 | Featherweight (Battle-Scarred),0,1,0,0
SCAR-20 | Fragments (Battle-Scarred),0,1,0,0
P250 | Re.built (Battle-Scarred),0,1,0,0
MP5-SD | Liquidation (Battle-Scarred),0,1,0,0
SG 553 | Cyberforce (Battle-Scarred),0,1,0,0
Tec-9 | Rebel (Battle-Scarred),0,1,0,0
M4A1-S | Emphorosaur-S (Battle-Scarred),0,1,1,0
Glock-18 | Umbral Rabbit (Battle-Scarred),0,1,1,0
MAC-10 | Sakkaku (Battle-Scarred),0,1,1,0
R8 Revolver | Banana Cannon (Battle-Scarred),0,1,1,0
P90 | Neoqueen (Battle-Scarred),0,1,1,0
AWP | Duality (Battle-Scarred),0,1,2,0
UMP-45 | Wild Child (Battle-Scarred),0,1,2,0
P2000 | Wicked Sick (Battle-Scarred),0,1,2,0
M4A4 | Temukau (Battle-Scarred),0,1,3,0
AK-47 | Head Shot (Battle-Scarred),0,1,3,0
Five-SeveN | Scrawl (Battle-Scarred),0,2,0,0
MAC-10 | Ensnared (Battle-Scarred),0,2,0,0
